observations,WM-hypointensities
483,-0.19374367024544525
484,-0.5197660260685495
485,-0.22499965843758696
486,-0.09578981424085163
488,-0.2695193992474522
489,-0.32418293309416285
49,-0.11631426591202944
490,-0.12090769403478566
491,-0.227022032838502
492,-1.061814252034622
493,-1.6296657555351621
494,-0.12032609527021275
495,-0.21630099651512694
496,-0.31214449873535605
497,-0.18692265220162554
498,-0.08909137827321006
5,-0.9229588489092793
50,-1.0604874601147236
500,-0.3557026500519073
501,-0.3735635419323145
503,-0.23322638059240883
505,-0.24117325073685683
506,-0.1649713301907229
507,-0.5260589154912403
508,-0.541177697919855
509,-0.2428234662964666
510,-0.3809749515061394
511,-0.2543036832189464
512,-0.5911770524068019
514,-0.7291667761058404
516,-0.26571525744044316
519,-0.39861236026718755
520,-0.37700605627386435
522,-0.30964482642649593
523,-0.2907571091007135
524,-0.24511778858668234
525,-0.1134558559441873
526,-0.18065620147497058
528,-0.2562145146581997
529,-0.24672259130516724
53,-0.1370433908583673
530,-0.37766951283924055
531,-1.6266512864212477
532,-0.13619270268152586
533,-0.27272955392938736
534,-0.23042905120268803
535,-2.105645358509274
537,-0.12449594628318182
538,-0.13049621464489833
54,-2.4444023774506882
540,-0.14301091973655533
541,-0.11256037858265597
542,-0.2983502207487203
543,-0.32900727199378477
544,-0.18552987057518852
546,-0.16455349076120898
547,-0.4720485494631076
55,-1.8116575973207574
550,-0.715721073278814
551,-1.1253585852591033
552,-0.8829410402284519
554,-1.0926266941886487
555,-0.550230093722763
556,-0.18903582165696578
558,-0.1679890054833969
559,-0.5995462241267294
56,-0.16985571945469274
560,-1.0654889980569442
561,-0.31916377161666565
563,-0.6444940166300673
565,-0.21864093035185225
566,-1.1702005667632962
567,-0.8665724225994709
568,-1.7288476939575521
569,-1.1911983848871368
570,-1.1208966489618015
571,-1.189335931636534
572,-0.6501889166792774
573,-1.5370323406435227
575,-0.20602728278458998
576,-1.08381796316679
577,-1.0989028343936271
578,-0.5599550683028202
579,-1.2703414449675463
58,-1.1722742865262632
580,-1.014134878102594
581,-2.554908392457146
583,-1.8260328147673783
584,-0.3505952889689296
585,-0.33908253535785177
586,-1.042952379993167
588,-0.6607732395582566
589,-0.9393509169237764
59,-0.17206127726919407
590,-0.4708747559676601
592,-1.464912406851796
594,-1.330923979991673
595,-1.2584261714449436
596,-2.1739504361755535
597,-0.6965640204283943
598,-16.865980411572444
6,-0.6282603219759294
600,-0.9487889370097478
601,-1.7427562228568834
602,-1.658298473344608
603,-0.9997944774719799
604,-2.428238918201187
605,-1.5428319259709184
606,-0.2451063743328449
607,-1.3902706201896484
608,-0.19978759544849395
609,-1.4100011877100438
61,-0.38320147107176844
610,-15.530703395055326
612,-1.3220089913877835
